station_code,station_name,division,category,remarks,latitude,longitude
BGRD,Beliaghata Road,SDAH,HG-3,,22.674548,88.607005
BTPG,Bethberia Ghola,SDAH,HG-3,,22.350122,88.573321
BHNA,Bhaina,SDAH,HG-3,,23.31226134,88.64165885999999
BBLA,Bhyabla,SDAH,HG-3,,22.654259999999997,88.854932
BNAA,Bibhutibhusan Halt,SDAH,HG-3,,,
CPHT,Coopers Halt,SDAH,HG-3,,,
DTG,Dignagar,SDAH,HG-3,,23.3188759,88.4559074
GGV,Ghoradasghona,SDAH,HG-3,,22.651678,88.78289199999999
GQD,Gourdaha,SDAH,HG-3,,22.3783007,88.5347717
HRSR,Harishnagar,SDAH,HG-3,,23.469777,88.77798899999999
HGA,Hogla,SDAH,HG-3,,22.255044,88.452384
JKL,Jalalkhalli,SDAH,HG-3,,23.347507999999998,88.513628
KMZA,Kankra Mirzanagar,SDAH,HG-3,,22.658005,88.721428
KARN,Karanjali,SDAH,HG-3,,22.0348168,88.245697
KBGH,Kareya Kadambagachhi,SDAH,HG-3,,22.705299,88.534887
KIRP,Khidirpur,SDAH,HG-3,,22.5357,88.315889
KRXM,Krishnamohan,SDAH,HG-3,,22.330258,88.449759
KUL,Kulpi,SDAH,HG-3,,11.234606999999999,75.788884
LBTL,Lebutala,SDAH,HG-3,,22.666791,88.640107
MDGB,Madhabnagar,SDAH,HG-3,,21.9375495,88.2194608
MDBP,Madhabpur,SDAH,HG-3,,22.119207,88.347323
MPN,Madhyampur,SDAH,HG-3,,22.619981,88.896007
MATN,Matnia Anantapur,SDAH,HG-3,,,
MYHT,Mayurhat,SDAH,HG-3,,23.363017,88.661013
NBRN,Nabaraynagar,SDAH,HG-3,,,
NRPR,Narendrapur,SDAH,HG-3,,22.453419999999998,88.41769
NBPH,New Barlarampur,SDAH,HG-3,,24.051233,88.24737400000001
NMDR,Nimdhari,SDAH,HG-3,,22.608628,88.905624
NCPM,Nischindipur Market,SDAH,HG-3,,21.987443000000003,88.21710499999999
NCP,Nishchindapur,SDAH,HG-3,,21.973426,88.214325
PNCB,Panchberia Halt,SDAH,HG-3,,23.221017,88.599435
PRTL,Pirtala,SDAH,HG-3,,24.359325000000002,88.28058300000001
RMTR,Remount Road,SDAH,HG-3,,22.525427999999998,88.316273
SNHT,Sanhati,SDAH,HG-3,,,
SNTB,Santinagar,SDAH,HG-3,,,
STBB,Satberia,SDAH,HG-3,,23.0477808,88.7914042
SGBA,Sir Gurudas Banerjee Halt,SDAH,HG-3,,22.5741753,88.3850451
SRJN,Sirajnagar,SDAH,HG-3,,23.818590999999998,88.27076000000001
SOLA,Sobhabazar Ahiritola,SDAH,HG-3,,22.597663999999998,88.35493799999999
SBNM,Subarnamrigi,SDAH,HG-3,,24.27321,88.292124
TNX,Taraknagar,SDAH,HG-3,,23.38018,88.680184
URP,Udairampur,SDAH,HG-3,,22.100085,88.273732
UKHT,Ukilerhat,SDAH,HG-3,,21.8247347,88.2302002
UTN,Uttar Radhanagar,SDAH,HG-3,,22.269458,88.383365
