station_code,station_name,division,category,remarks,latitude,longitude
PNDI,Pachandi,HWH,HG-3,Closed temporarily,23.7224343,88.0507469
SHBA,Sahebtala,HWH,HG-3,,23.591585,88.200996
SIZ,Srikhanda,HWH,HG-3,Closed temporarily,,
SPS,Sripat Srikhanda,HWH,HG-3,Closed temporarily,,
NOC,Chamardighi,HWH,HG-3,,,
NIDM,Nandaigram,HWH,HG-3,,,
MYPR,Maynapur,HWH,HG-3,,23.0037127,87.498611
IPRA,Islampara,HWH,HG-3,Newly opened,,
BGP,Bhagalpur,MLDT,NSG-2,,25.241909300000003,86.9767918
MLDT,Malda Town,MLDT,NSG-3,,25.015659,88.130338
JMP,Jamalpur,MLDT,NSG-3,,25.313906,86.492285
NFK,New Farakka,MLDT,NSG-4,,24.794558,87.915236
SGG,Sultanganj,MLDT,NSG-4,,25.24085,86.736175
AHA,Abhaipur,MLDT,NSG-5,,25.2159864584,86.32307245909999
AKN,Akbarnagar,MLDT,NSG-5,,25.234880766899998,86.8345333624
BHW,Barharwa,MLDT,NSG-5,,24.857748,87.77449299999999
BUP,Bariarpur,MLDT,NSG-5,,25.2810286076,86.5740372229
DGLE,Dhulianganga,MLDT,NSG-5,,24.672086,87.937644
JRLE,Jangipur Road,MLDT,NSG-5,,24.459515,88.04076
CLG,Kahalgaon,MLDT,NSG-5,,25.2621879424,87.2337518945
KJH,Kajra,MLDT,NSG-5,,25.182766,86.261571
KTJ,Khaltipur,MLDT,NSG-5,,24.875742000000002,88.021646
MZC,Mirzacheuki,MLDT,NSG-5,,25.2587767836,87.4979796002
NILE,Nimtita,MLDT,NSG-5,,24.625338,88.00764
PPT,Pirpainti,MLDT,NSG-5,,25.2903753934,87.4218244568
RJL,Rajmahal,MLDT,NSG-5,,25.052535,87.831451
SBG,Sahibganj,MLDT,NSG-5,,25.241391999999998,87.63457700000001
TPH,Tinpahar,MLDT,NSG-5,,24.996925863999998,87.7438070306
BAKA,Banka,MLDT,NSG-6,,24.8659010332,86.91169348999999
BDAG,Bonidanga,MLDT,NSG-6,,24.82345158,87.81052581
BKLE,Bakudih,MLDT,NSG-6,,24.9345107267,87.7749068933
BKSL,Bikramsila,MLDT,NSG-6,,25.30004436,87.3002182
BQZ,Ballalpur,MLDT,NSG-6,,24.747459000000003,87.91224299999999
CMX,Chamagram,MLDT,NSG-6,,24.821334,87.96334499999999
DDX,Dhamdhamia,MLDT,NSG-6,,24.9603876804,87.7615573059
DNRE,Dhanauri,MLDT,NSG-6,,25.1719686608,86.1591750293
DRH,Dharhara,MLDT,NSG-6,,25.2578934114,86.4115380682
DRTP,Dasrathpur,MLDT,NSG-6,,25.265181819000002,86.46453228029999
EKC,Ekchari,MLDT,NSG-6,,25.227623048199998,87.2138658521
GALE,Gankar,MLDT,NSG-6,,24.404804119599998,88.07289439819999
GGA,Ghogha,MLDT,NSG-6,,25.2103054225,87.16086164
GNNA,Gangania,MLDT,NSG-6,,25.265514,86.593002
GZM,Gour malda,MLDT,NSG-6,,24.947944439999997,88.11078197
HSDA,Hansdiha,MLDT,NSG-6,,24.6141943022,87.0849798193
JMQ,Jamirghata,MLDT,NSG-6,,24.916623,88.06775999999999
KPRD,Kalyanpur Road,MLDT,NSG-6,,25.275564886399998,86.5806353711
KPTO,Karanpurato,MLDT,NSG-6,,25.136401449999997,87.7340281628
KRMA,Karamtola,MLDT,NSG-6,,25.2554212612,87.5531429022
KXE,Kalyanchak,MLDT,NSG-6,,25.03452,87.736758
MDLE,Mandarhill,MLDT,NSG-6,,24.8060780645,87.02615830570001
MGLE,Manigram,MLDT,NSG-6,,24.3428549076,88.107881626
MGR,Munger,MLDT,NSG-6,,25.3771111,86.4813897
MJP,Maharajpur,MLDT,NSG-6,,25.219587,87.74030800000001
MPLR,Mahipal road,MLDT,NSG-6,,24.2875453877,88.1911711557
MSDN,Masudan,MLDT,NSG-6,,25.2352713892,86.3578830731
NAT,Nathnagar,MLDT,NSG-6,,25.237052000000002,86.935373
PRDG,Poradanga,MLDT,NSG-6,,24.2602726462,88.2261646533
SBO,Sabour,MLDT,NSG-6,,25.239083,87.045918
SLJ,Sakrigali,MLDT,NSG-6,,25.243358999999998,87.715967
SPLE,Sujnipara,MLDT,NSG-6,,24.571584,88.03679699999999
SVRP,Shivnarayanpur,MLDT,NSG-6,,25.2937259592,87.3330938318
TDLE,Tildanga,MLDT,NSG-6,,24.786749,87.873801
TKLE,Tikani,MLDT,NSG-6,,25.108394454899997,86.9932459985
TLJ,Taljhari,MLDT,NSG-6,,25.0823504143,87.7416879089
UXN,Uren,MLDT,NSG-6,,25.1711114,86.2244983
RPUR,Ratanpur,MLDT,NSG-6,,25.279794000000003,86.57608
GODA,Godda,MLDT,NSG-6,Newly opened,24.8297136,87.1928584
LMM,Lailakh Mamalkha,MLDT,HG-2,,25.21827008,87.1050667084
AJUG,Abjuganj,MLDT,HG-2,,25.242369,86.775451
AMPL,Ammapali,MLDT,HG-2,,25.2724414889,87.4585745682
BDBP,Basudebpur,MLDT,HG-2,,24.6355270351,87.98253549799999
BDBS,Bindubasini,MLDT,HG-2,,24.792848,87.859263
DWLE,Dhauni,MLDT,HG-2,,25.010329682000002,86.9930409827
KAPP,Kharia Pipra,MLDT,HG-2,,25.243589,86.627487
MPY,Murarpur,MLDT,HG-2,,25.232759,86.886908
NNAT,Nanihat,MLDT,HG-2,,,
AHN,Ahiron,MLDT,HG-3,,24.517687000000002,88.04112500000001
BHLE,Barahat,MLDT,HG-3,,24.9206004744,87.0100837976
BRPS,Barapalasi,MLDT,HG-3,,24.3819006,87.181875
BELE,Bela,MLDT,HG-3,,24.9798392,84.9816711
CTMP,Chit Makandpur,MLDT,HG-3,,25.234493190600002,86.87393632569999
DANE,Danre,MLDT,HG-3,,,
GIBP,Ghogi Bariarpur,MLDT,HG-3,,25.2058083716,86.3040822156
GOG,Ghorghat,MLDT,HG-3,,25.27073,86.58456
GIF,Gonudham,MLDT,HG-3,,25.1634535646,86.9862695435
HPLE,Hatpurani,MLDT,HG-3,,25.1558255368,86.9850695752
JDPT,Jagadishpur,MLDT,HG-3,,25.1482278323,86.9846195752
KMGH,Kamarganj,MLDT,HG-3,,25.2369518098,86.6457233716
KKTA,Koilikutha,MLDT,HG-3,,25.18966,86.987831
KDAL,Kumradol,MLDT,HG-3,,24.6619482,87.0646818
KUMT,Kumrahat,MLDT,HG-3,,,
LKB,Laxmipur Bhorang,MLDT,HG-3,,25.288258000000003,87.36336
MVV,Maheshi,MLDT,HG-3,,25.236912,86.799239
MPLE,Mahipal,MLDT,HG-3,,24.30631,88.162107
MDVB,Mandar Vidyapith,MLDT,HG-3,,24.8344029798,87.0202584961
MAHA,Murahara,MLDT,HG-3,,24.9140773,86.9335783
NWMS,Noapara Mohisasur,MLDT,HG-3,,24.323279,88.13727399999999
PETA,Pandetola,MLDT,HG-3,,24.7415365882,87.0603205811
PJLE,Panjwara Road,MLDT,HG-3,,24.8770456448,87.0136837024
PATA,Patam,MLDT,HG-3,,26.6666191003,79.4794183441
PWBN,Pawai Brahmasthan,MLDT,HG-3,,25.1712233008,86.1965221936
PPDI,Pipradih,MLDT,HG-3,,24.9936652146,86.9944876282
PNSA,Punsia,MLDT,HG-3,,24.9531673111,87.0037506653
RAMPu,Rampur halt,MLDT,HG-3,,25.171379,86.140835
RIKD,Rishikund,MLDT,HG-3,,25.294435959199998,86.5623576038
SJJ,Sanjha,MLDT,HG-3,,25.0658316907,87.0008507605
SXP,Sankopara,MLDT,HG-3,,24.7176851264,87.9344515665
SRBG,Sarobag,MLDT,HG-3,,25.272851221,86.4760352539
TELA,Telia,MLDT,HG-3,,24.9056351,86.9764959
GGWA,Gangwara,MLDT,HG-3,Newly opened,,
PYHT,Prayahat,MLDT,HG-3,Newly opened,,
SDAH,Sealdah,SDAH,NSG-1,,22.566758,88.374713
KOAA,Kolkata Terminal,SDAH,NSG-2,,22.601174999999998,88.385179
NH,Naihati,SDAH,NSG-2,,22.888555,88.4185
BPC,Berhampur Court,SDAH,NSG-4,,24.0890841,88.263642
BEB,Beldanga,SDAH,NSG-5,,23.9320594,88.2429681
BTY,Bethuadahari,SDAH,NSG-5,,23.610275,88.384597
BQG,Bhagawangola,SDAH,NSG-5,,24.333178,88.309816
CSZ,Cossimbazar,SDAH,NSG-5,,24.122264,88.266903
DEB,Debagram,SDAH,NSG-5,,23.685277,88.306807
JJG,Jiaganj,SDAH,NSG-5,,24.244268,88.27698
KRP,Krishnapur Jn,SDAH,NSG-5,,24.406330999999998,88.25613200000001
LGL,Lalgola,SDAH,NSG-5,,24.421152,88.257513
MBB,Murshidabad,SDAH,NSG-5,,24.176963999999998,88.281598
PLY,Plassey,SDAH,NSG-5,,23.777986000000002,88.28447
BFT,Bhabta,SDAH,NSG-6,,23.9869677,88.241584
BPD,Bahadurpur,SDAH,NSG-6,,23.438519499999998,88.4633792
DHU,Dhubulia,SDAH,NSG-6,,23.483546,88.441145
MGM,Muragachha,SDAH,NSG-6,,23.529636,88.421243
NDF,Nabadwipghat,SDAH,NSG-6,Closed temporarily,,
PCX,Paglachandi,SDAH,NSG-6,,23.743195,88.303969
REJ,Rejinagar,SDAH,NSG-6,,23.850089999999998,88.259255
SGV,Sargachhi,SDAH,NSG-6,,24.01772,88.244037
SVH,Sonadanga,SDAH,NSG-6,,23.636393,88.354092
BT,Barasat,SDAH,SG-2,,22.723879999999998,88.48348299999999
BP,Barrackpur,SDAH,SG-2,,22.7610653,88.371428
BRP,Baruipur,SDAH,SG-2,,22.366657999999997,88.431647
BLH,Belgharia,SDAH,SG-2,,22.661900000000003,88.389455
BNXR,Bidhannagar Road,SDAH,SG-2,,22.592432,88.391045
CDH,Chakdah,SDAH,SG-2,,23.078406,88.529672
DDJ,Dumdum Jn,SDAH,SG-2,,22.621717,88.392835
HB,Habra,SDAH,SG-2,,22.840869,88.657583
KDH,Khardah,SDAH,SG-2,,22.725065,88.37715700000001
KNJ,Krishnanagar city Jn,SDAH,SG-2,,23.388714,88.493636
MMG,Madhyamgram,SDAH,SG-2,,22.693938,88.45225400000001
RHA,Ranaghat,SDAH,SG-2,,23.173344,88.568184
SNR,Shyamnagar,SDAH,SG-2,,22.828781,88.380423
SEP,Sodepur,SDAH,SG-2,,22.698850999999998,88.382193
SPR,Sonarpur,SDAH,SG-2,,22.443359,88.429773
SBGR,Subhashgram,SDAH,SG-2,,22.413546,88.433753
AGP,Agarpara,SDAH,SG-3,,22.682505000000003,88.384761
AQR,Akra,SDAH,SG-3,,22.5147366,88.2492787
AG,Aranghata,SDAH,SG-3,,23.242037,88.613551
ASKR,Ashokenagar Road,SDAH,SG-3,,,
BDZ,Badkulla,SDAH,SG-3,,23.3046657,88.526557
BBR,Bagbazar,SDAH,SG-3,,22.60512587,88.36524556
BGJT,Baghajatin,SDAH,SG-3,,22.482615000000003,88.387421
BARU,Baharu,SDAH,SG-3,,22.205278,88.44446
BLYG,Ballyghat,SDAH,SG-3,,22.652173,88.347431
BLN,Ballygunge,SDAH,SG-3,,22.51983196,88.37206854
BMG,Bamungachi,SDAH,SG-3,,,
BPN,Banpur,SDAH,SG-3,,23.45186861,88.76185515
BARN,Baranagar Road,SDAH,SG-3,,22.6530928,88.37831077
BSHT,Basirhat,SDAH,SG-3,,22.650516,88.86896
BSD,Basuldanga,SDAH,SG-3,,22.20374787,88.23393947000001
BBDB,BBD Bag,SDAH,SG-3,,22.577047,88.34685800000001
BSLA,Bhasila,SDAH,SG-3,,22.665494000000002,88.65854499999999
BDYP,Bidyadharpur,SDAH,SG-3,,22.425122,88.452872
BZRA,Bira,SDAH,SG-3,,22.7897513,88.5722344
BBT,Birati,SDAH,SG-3,,22.66472,88.42761300000001
BIJ,Birnagar,SDAH,SG-3,,23.2358754,88.55125199999999
BRPK,Bisharpara Kodalia,SDAH,SG-3,,22.676284,88.434731
BGL,Bogula,SDAH,SG-3,,23.335464709999997,88.64640372000001
BNJ,Bongaon,SDAH,SG-3,,,
BRJ,Brace Bridge,SDAH,SG-3,,22.517861,88.301496
BGB,Budgebudge,SDAH,SG-3,,22.49310248,88.19469228000001
BZB,Burrabazar,SDAH,SG-3,,22.590907,88.351803
